"Klarna Invoice","Klarna Faktura"
"No address found. Verify the personal id and try again","Ingen adresse ble funnet. Kontroller fødselsnummer og prøv på nytt."
"Please note that both shipping and invoice address will be updated to this address when you place your order","Både leveranse- og fakturaadresse vil bli oppdatert til denne adressen når du sluttfører ordren."
"Please note that shipping address will be updated to this address when you place your order","Leveranseadressen vil bli oppdatert til denne adressen når du sluttfører ordren."

"Invoice","Faktura"
"Refund","Refunder"
"month","måned"
"Reservation","Reservasjon"
"Reservation Pending","Reservasjonen er ventende"
"Reservation Denied","Reservasjonen ble avvist"
"Country","Land"
"Description","Beskrivelse"
"Months","Måneder"
"Minimum amount","Minste beløp"
"Address","Adresse"
"By submitting my data I consent to the processing of my data by Klarna for the purposes of identity- and credit assessment and the settlement of the purchase. I may revoke my %s for the processing of data and for the purposes for which this is possible according to law. The general %s apply.","Mit der Datenverarbeitung der für die Abwicklungdes Rechnungskaufes und einer Identitäts-und Bonitätsprüfung erforderlichen Daten durch Klarna bin ich einverstanden. Meine %s kann ich jederzeit mit Wirkung für die Zukunft widerrufen. Es gelten die %s des Händlers."
"Date of birth","Fødselsdato"
"Gender","Kjønn"
"Male","Mann"
"Female","Kvinne"
"Monthly cost","Månedskostnad"
"Total cost","Total kostnad"
"Start fee","Startgebyr"
"Personal ID/Registration number","Fødselsnummer/Organisasjonsnummer"
"Fetch ","Hent adresse"
"Identifying...","Identifiserer..."
"Phone number","Telefonnummer"
"Discount (%s)","Rabatt (%s)"

"Gift Wrapping for Order","Gaveinnpakking for ordre"
"Gift Wrapping for Items","Gaveinnpakking for varer"
"Printed Card","Printet kort"
"Gift Card","Gavekort"
"Customer Balance","Kundesaldo"
"Reward Currency","Belønningsvaluta"

"YYMMDD-XXXX","DDMMYYNNNN"
"URL to terms and conditions","URL til vilkår"
"URL to this stores own terms and conditions (only used in Germany and Austria)","URL til butikkens egne salgsbetingelser (brukes bare i Tyskland og Østerrike)"
"terms and conditions","AGB"
"Testmode is active, only Klarna specific test customers will be allowed","Testmodus er aktivert, kun Klarnas testpersoner vil bli godkjent."
"Year","År"
"Month","Måned"
"Day","Dag"
"07xxxxxxxx",""

"Disable payment widget on product page","Disable payment widget on product page"
"If set to yes, the payment information from Klarna will not appear on the product page","If set to yes, the payment information from Klarna will not appear on the product page"
